"GENERO","ID_PAIS PROCEDENCIA","PAIS PROCEDENCIA","Id_departamento","DEPARTAMENTO","Id_edad","RANGO EDAD","ID MOTIVO VIAJE","MOTIVO VIAJE","NOCHES","ID TIPO ALOJAMIENTO","TIPO ALOJAMIENTO","GASTO TURISTICO GENERADO","ID_Medio","MEDIO","AÑO"
"FEMENINO","1","COLOMBIA","14","CAUCA","4","51-62","15","VISITAR A FAMILIARES Y/O AMIGOS","6","6","CASA FAMILIARES / AMIGOS","900000","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","14","CAUCA","2","27-38","15","VISITAR A FAMILIARES Y/O AMIGOS","6","11","HOTEL","1000000","11","YA LOS CONOCIA","2022"
"FEMENINO","1","COLOMBIA","9","CORDOBA","3","39-50","15","VISITAR A FAMILIARES Y/O AMIGOS","6","6","CASA FAMILIARES / AMIGOS","900000","11","YA LOS CONOCIA","2022"
"FEMENINO","1","COLOMBIA","11","CAQUETA","4","51-62","15","VISITAR A FAMILIARES Y/O AMIGOS","6","6","CASA FAMILIARES / AMIGOS","1000000","11","YA LOS CONOCIA","2022"
"FEMENINO","1","COLOMBIA","7","BOLIVAR","3","39-50","13","VACACIONES, RECREO Y OCIO","6","6","CASA FAMILIARES / AMIGOS","900000","11","YA LOS CONOCIA","2022"
"FEMENINO","1","COLOMBIA","14","CAUCA","2","27-38","13","VACACIONES, RECREO Y OCIO","6","6","CASA FAMILIARES / AMIGOS","1200000","2","AMIGOS Y/O FAMILIARES.","2022"
"FEMENINO","1","COLOMBIA","31","PUTUMAYO","4","51-62","13","VACACIONES, RECREO Y OCIO","2","11","HOTEL","3000000","11","YA LOS CONOCIA","2022"
"FEMENINO","1","COLOMBIA","14","CAUCA","1","15-26","13","VACACIONES, RECREO Y OCIO","2","11","HOTEL","850000","2","AMIGOS Y/O FAMILIARES.","2022"
"MASCULINO","1","COLOMBIA","40","VALLE DEL CAUCA","1","15-26","13","VACACIONES, RECREO Y OCIO","2","11","HOTEL","600000","2","AMIGOS Y/O FAMILIARES.","2022"
"MASCULINO","1","COLOMBIA","40","VALLE DEL CAUCA","2","27-38","13","VACACIONES, RECREO Y OCIO","1","11","HOTEL","300000","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","14","CAUCA","1","15-26","15","VISITAR A FAMILIARES Y/O AMIGOS","3","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"FEMENINO","1","COLOMBIA","10","CALDAS","1","15-26","13","VACACIONES, RECREO Y OCIO","5","6","CASA FAMILIARES / AMIGOS","0","2","AMIGOS Y/O FAMILIARES.","2022"
"MASCULINO","1","COLOMBIA","21","HUILA","2","27-38","15","VISITAR A FAMILIARES Y/O AMIGOS","","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","38","TOLIMA","2","27-38","15","VISITAR A FAMILIARES Y/O AMIGOS","","14","SIN INFORMACION","0","11","YA LOS CONOCIA","2022"
"FEMENINO","6","ECUADOR","36","SIN INFORMACION","3","39-50","15","VISITAR A FAMILIARES Y/O AMIGOS","10","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"FEMENINO","1","COLOMBIA","11","CAQUETA","1","15-26","15","VISITAR A FAMILIARES Y/O AMIGOS","8","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
